Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2020-09-15","2,427","5,665","2","9","629","237","8","0","1,127"
"2020-09-16","2,368","5,900","2","8","795","242","0","0","1,068"
"2020-09-17","2,813","8,138","3","2","158","355","16","10","1,513"
"2020-09-18","2,875","8,655","3","9","33","267","71","24","1,575"
"2020-09-19","2,547","7,829","3","11","207","237","16","18","1,247"
"2020-09-20","1,613","0","0","18","1,440","0","0","0","313"
"2020-09-21","1,613","0","0","12","1,440","0","0","0","313"
"2020-09-22","2,292","5,133","2","2","1,195","219","0","0","992"
"2020-09-23","2,422","5,696","2","17","581","189","21","19","1,122"
"2020-09-24","2,767","8,144","3","15","691","224","28","38","1,467"
"2020-09-25","2,485","5,884","2","5","672","229","8","6","1,185"
"2020-09-26","2,467","6,857","3","3","274","204","22","8","1,167"
"2020-09-27","2,765","7,178","3","9","241","183","52","34","1,465"
"2020-09-28","2,155","2,797","1","1","634","115","1","13","855"
"2020-09-29","2,756","9,885","4","44","11","199","46","42","1,456"
"2020-09-30","2,347","5,275","2","4","108","239","0","0","1,047"
"2020-10-01","2,320","4,883","2","5","153","174","36","4","1,020"
"2020-10-02","2,588","6,219","2","7","200","227","29","21","1,288"
"2020-10-03","3,884","20,961","9","79","0","149","137","147","2,584"
"2020-10-04","2,568","4,878","2","10","0","182","21","18","1,268"
"2020-10-05","2,713","11,847","5","29","192","169","7","77","1,413"
"2020-10-06","2,931","8,686","3","55","2","229","46","36","1,631"
"2020-10-07","2,623","9,091","4","16","179","208","31","28","1,323"
"2020-10-08","3,110","14,446","6","17","0","209","68","85","1,810"
"2020-10-09","3,730","12,656","5","15","0","229","222","57","2,430"
"2020-10-10","3,046","9,654","4","5","0","285","80","23","1,746"
"2020-10-11","2,860","10,414","4","13","0","233","90","25","1,560"
"2020-10-12","2,721","7,045","3","5","607","242","41","11","1,421"
"2020-10-13","2,493","5,605","2","6","603","190","44","6","1,193"
"2020-10-14","2,345","4,863","2","12","144","156","23","17","1,045"
"2020-10-15","2,681","10,206","4","94","149","155","17","54","1,381"
"2020-10-16","2,627","9,338","4","16","566","252","20","19","1,327"
"2020-10-17","3,110","11,533","5","9","0","230","55","76","1,810"
"2020-10-18","2,785","9,329","4","19","0","273","43","27","1,485"
"2020-10-19","2,614","6,681","3","50","802","120","22","55","1,314"
"2020-10-20","2,594","5,686","2","9","844","177","35","29","1,294"
"2020-10-21","2,388","4,615","2","4","784","213","0","0","1,088"
"2020-10-22","2,651","10,479","4","7","251","242","14","37","1,351"
"2020-10-23","2,899","11,648","5","20","0","172","78","59","1,599"
"2020-10-24","2,558","8,216","3","7","117","195","27","31","1,258"
"2020-10-25","2,183","4,510","2","4","424","192","10","1","883"
"2020-10-26","2,560","8,284","3","10","610","256","19","11","1,260"
"2020-10-27","2,321","4,880","2","7","683","205","20","0","1,021"
"2020-10-28","2,731","7,570","3","1","591","332","20","1","1,431"
"2020-10-29","2,496","5,032","2","3","65","239","13","7","1,196"
"2020-10-30","2,304","4,581","2","5","303","251","0","0","1,004"
"2020-10-31","2,696","7,365","3","16","3","239","39","16","1,396"
"2020-11-01","2,612","8,606","3","19","154","218","32","26","1,312"
"2020-11-02","2,862","13,171","6","25","28","210","11","80","1,562"
"2020-11-03","3,146","13,192","6","92","16","240","50","74","1,846"
"2020-11-04","2,961","15,843","7","27","126","240","44","64","1,661"
"2020-11-05","3,939","16,938","7","31","0","282","240","53","2,639"
"2020-11-06","3,081","11,803","5","3","184","290","76","16","1,781"
"2020-11-07","3,258","16,501","7","6","502","191","60","110","1,958"
