Sleep
Start Time,End Time, Minutes Asleep,Minutes Awake, Number of Awakenings, Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
"2019-11-22 1:06 AM","2019-11-22 7:03 AM","337","20","1","357","N/A","N/A","N/A"
"2019-11-22 11:11 PM","2019-11-23 6:59 AM","406","62","5","468","N/A","N/A","N/A"
"2019-11-23 11:26 PM","2019-11-24 7:00 AM","368","85","17","453","100","209","59"
"2019-11-24 10:43 PM","2019-11-25 6:22 AM","405","54","20","459","92","246","67"
"2019-11-25 10:44 PM","2019-11-26 7:48 AM","462","82","9","544","N/A","N/A","N/A"
"2019-11-26 10:46 PM","2019-11-27 6:28 AM","402","59","21","461","92","248","62"
"2019-11-28 12:19 AM","2019-11-28 6:39 AM","301","78","20","379","50","190","61"
"2019-11-28 11:19 PM","2019-11-29 7:06 AM","423","42","3","467","N/A","N/A","N/A"
"2019-11-30 1:19 AM","2019-11-30 7:17 AM","290","68","16","358","10","255","25"
"2019-11-30 11:33 PM","2019-12-01 8:30 AM","428","108","21","536","27","298","103"
"2019-12-01 11:58 PM","2019-12-02 7:14 AM","324","112","16","436","7","248","69"
"2019-12-03 12:05 AM","2019-12-03 6:40 AM","348","47","5","395","N/A","N/A","N/A"
"2019-12-03 10:44 PM","2019-12-04 7:16 AM","467","44","5","511","N/A","N/A","N/A"
"2019-12-04 10:37 PM","2019-12-05 6:23 AM","393","73","22","466","63","216","114"
"2019-12-05 10:41 PM","2019-12-06 6:56 AM","422","72","29","494","103","227","92"
"2019-12-07 12:30 AM","2019-12-07 8:51 AM","432","69","18","501","39","316","77"
"2019-12-12 12:33 AM","2019-12-12 7:00 AM","359","28","5","387","N/A","N/A","N/A"
"2019-12-12 11:29 PM","2019-12-13 6:24 AM","372","42","5","415","N/A","N/A","N/A"
"2019-12-14 12:01 AM","2019-12-14 7:59 AM","448","30","3","478","N/A","N/A","N/A"
"2019-12-14 12:01 AM","2019-12-14 7:59 AM","448","30","3","478","N/A","N/A","N/A"
"2019-12-14 11:42 PM","2019-12-15 7:40 AM","434","44","6","478","N/A","N/A","N/A"
"2019-12-15 10:54 PM","2019-12-16 6:19 AM","404","41","4","445","N/A","N/A","N/A"
"2019-12-16 10:30 PM","2019-12-17 6:44 AM","432","62","26","494","39","331","62"
"2019-12-17 10:39 PM","2019-12-18 7:07 AM","430","78","15","508","35","271","124"
"2019-12-18 10:28 PM","2019-12-19 6:29 AM","415","63","8","481","N/A","N/A","N/A"
"2019-12-19 11:16 PM","2019-12-20 6:59 AM","414","49","7","463","N/A","N/A","N/A"
"2019-12-21 12:04 AM","2019-12-21 7:34 AM","402","43","3","449","N/A","N/A","N/A"
"2019-12-21 11:50 PM","2019-12-22 8:23 AM","459","54","13","513","96","311","52"
"2019-12-22 10:41 PM","2019-12-23 6:56 AM","447","47","21","494","83","291","73"
"2019-12-24 2:10 AM","2019-12-24 9:00 AM","393","16","1","409","N/A","N/A","N/A"
"2019-12-24 11:25 PM","2019-12-25 8:43 AM","522","33","3","558","N/A","N/A","N/A"
"2019-12-26 2:58 AM","2019-12-26 8:21 AM","285","38","18","323","45","230","10"
"2019-12-26 11:03 PM","2019-12-27 8:06 AM","500","43","4","543","N/A","N/A","N/A"
"2019-12-28 3:55 AM","2019-12-28 8:16 AM","226","35","14","261","13","157","56"
"2019-12-29 12:22 AM","2019-12-29 8:56 AM","466","47","16","513","97","268","101"
"2019-12-30 12:37 AM","2019-12-30 9:01 AM","466","32","4","504","N/A","N/A","N/A"
"2019-12-30 11:40 PM","2019-12-31 8:33 AM","490","43","32","533","76","328","86"
"2020-01-01 1:19 AM","2020-01-01 9:28 AM","435","54","18","489","65","321","49"
"2020-01-01 10:46 PM","2020-01-02 7:47 AM","482","59","28","541","115","276","91"
