Body
Date,Weight,BMI,Fat
"2017-08-26","160.0","23.17",""
"2018-03-27","146.0","21.14",""
"2019-08-09","158.0","22.88",""
"2021-02-16","155.4","22.5",""

Activities
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
"2017-08-26","1,980","2,802","1","0","1,297","124","13","6","680"
"2017-08-27","2,264","10,153","4","0","1,316","47","9","68","964"
"2017-08-28","1,841","3,311","1","0","1,373","67","0","0","541"
"2017-08-29","1,779","2,019","0","0","1,304","58","0","0","479"
"2017-08-30","2,503","6,875","3","16","254","239","0","0","1,203"
"2017-08-31","2,579","8,393","3","22","83","260","0","0","1,279"
"2017-09-01","2,542","7,445","3","17","209","242","5","5","1,242"
"2017-09-02","2,761","11,760","5","25","98","262","30","10","1,461"
"2017-09-03","3,000","14,156","6","59","0","237","46","58","1,700"
"2017-09-04","2,755","10,160","4","15","597","279","27","14","1,455"
"2017-09-05","2,289","6,231","2","17","659","220","0","0","989"
"2017-09-06","2,753","9,411","4","27","703","260","16","18","1,453"
"2017-09-07","2,809","9,909","4","19","166","255","35","25","1,509"
"2017-09-08","2,423","7,133","3","15","242","232","0","0","1,123"
"2017-09-09","2,643","10,321","4","22","209","194","18","42","1,343"
"2017-09-10","2,753","13,650","6","124","57","160","38","62","1,453"
"2017-09-11","2,361","5,982","2","14","269","195","8","2","1,061"
"2017-09-12","2,613","9,929","4","25","155","263","13","10","1,313"
"2017-09-13","2,704","11,338","5","15","214","196","24","48","1,404"
"2017-09-14","2,502","8,738","3","27","203","214","10","15","1,202"
"2017-09-15","2,414","6,811","3","12","314","228","2","6","1,114"
"2017-09-16","2,635","11,557","5","14","297","250","14","21","1,335"
"2017-09-17","2,444","5,816","2","13","45","229","26","1","1,144"
"2017-09-18","2,466","8,999","4","21","268","197","14","23","1,166"
"2017-09-19","2,255","5,691","2","12","284","176","5","5","955"
"2017-09-20","2,248","5,818","2","21","190","175","8","8","948"
"2017-09-21","2,796","11,161","5","23","44","223","30","46","1,496"
"2017-09-22","2,495","9,035","4","28","171","204","22","16","1,195"
"2017-09-23","2,673","10,706","4","16","263","237","20","23","1,373"
"2017-09-24","3,339","20,996","9","154","0","233","43","112","2,039"
"2017-09-25","2,704","11,660","5","38","122","272","10","28","1,404"
"2017-09-26","3,009","11,748","5","36","131","297","32","25","1,709"
"2017-09-27","2,593","10,411","4","18","181","259","31","4","1,293"
"2017-09-28","2,577","9,042","4","25","218","257","20","10","1,277"
"2017-09-29","2,494","9,191","4","40","259","197","15","19","1,194"
"2017-09-30","2,516","10,072","4","29","287","193","9","25","1,216"
"2017-10-01","3,315","20,790","9","251","0","194","72","109","2,015"
"2017-10-02","2,569","9,057","4","27","225","217","18","19","1,269"
"2017-10-03","2,668","11,079","5","40","230","236","24","23","1,368"
"2017-10-04","2,691","12,356","5","35","237","200","29","48","1,391"
"2017-10-05","2,859","14,700","6","26","145","226","24","62","1,559"
"2017-10-06","2,684","10,949","5","48","265","219","28","18","1,384"
"2017-10-07","3,039","15,126","6","42","191","262","53","44","1,739"
"2017-10-08","2,680","9,570","4","5","244","197","39","32","1,380"
"2017-10-09","2,998","11,228","5","39","136","244","94","28","1,698"
"2017-10-10","2,726","8,356","3","79","148","189","23","30","1,426"
"2017-10-11","3,150","9,104","2","34","92","235","38","65","1,850"
"2017-10-12","3,455","15,009","5","100","71","269","78","73","2,155"
"2017-10-13","3,089","11,357","5","13","50","262","117","21","1,789"
"2017-10-14","3,370","13,440","6","5","155","351","110","15","2,070"
"2017-10-15","3,477","15,166","6","8","0","353","118","31","2,177"
"2017-10-16","2,736","9,677","4","5","881","212","68","19","1,436"
"2017-10-17","2,822","10,704","4","3","171","311","50","14","1,522"
"2017-10-18","3,274","10,587","4","10","0","256","70","67","1,974"
"2017-10-19","3,248","15,694","7","1","42","324","65","53","1,948"
"2017-10-20","2,517","7,501","3","2","295","247","14","8","1,217"
"2017-10-21","3,039","12,666","5","2","0","342","42","20","1,739"
"2017-10-22","3,215","14,742","6","1","729","308","65","35","1,915"
"2017-10-23","3,514","15,866","7","3","19","322","137","41","2,214"
"2017-10-24","3,000","12,978","5","5","127","298","58","30","1,700"
"2017-10-25","2,987","11,391","5","4","644","298","42","29","1,687"
"2017-10-26","2,734","6,304","2","5","21","290","34","6","1,434"
"2017-10-27","3,142","10,075","4","0","0","344","71","19","1,842"
"2017-10-28","3,037","10,585","4","1","525","281","106","13","1,737"
"2017-10-29","2,889","7,515","3","2","38","331","28","3","1,589"
"2017-10-30","3,410","15,667","7","0","10","463","57","17","2,110"
"2017-10-31","2,886","10,670","4","1","116","331","43","9","1,586"
"2017-11-01","3,449","13,810","6","1","0","350","110","39","2,149"
"2017-11-02","3,148","17,724","8","185","0","266","40","69","1,848"
"2017-11-03","2,928","11,634","5","3","0","302","25","37","1,628"
"2017-11-04","2,773","8,277","3","5","38","256","55","18","1,473"
"2017-11-05","3,585","18,468","9","5","0","280","116","69","2,285"
"2017-11-06","3,017","10,912","5","13","37","239","61","34","1,717"
"2017-11-07","3,423","16,597","7","5","63","306","122","46","2,123"
"2017-11-08","3,516","16,962","7","3","18","425","80","27","2,216"
"2017-11-09","3,501","15,270","6","9","39","304","96","64","2,201"
"2017-11-10","3,278","14,256","6","7","83","308","71","55","1,978"
"2017-11-11","3,515","17,742","8","3","12","347","83","60","2,215"
"2017-11-12","2,970","12,394","5","3","210","254","81","23","1,670"
"2017-11-13","2,896","10,581","4","2","116","306","44","18","1,596"
"2017-11-14","2,177","4,446","2","8","276","138","18","9","877"
"2017-11-15","2,467","7,663","3","10","0","271","13","5","1,167"
"2017-11-16","2,474","7,362","3","32","30","222","6","14","1,174"
"2017-11-17","2,015","3,157","1","4","3","150","0","0","715"
"2017-11-18","2,662","10,476","4","15","70","202","36","47","1,362"
"2017-11-19","2,491","7,367","3","18","10","149","49","39","1,191"
"2017-11-20","2,815","9,519","4","9","65","295","33","11","1,515"
"2017-11-21","2,858","7,876","3","5","74","274","66","4","1,558"
"2017-11-22","3,196","12,088","5","13","130","278","104","16","1,896"
"2017-11-23","3,764","16,407","7","1","0","402","173","13","2,464"
"2017-11-24","3,794","17,380","7","4","0","447","129","27","2,494"
"2017-11-25","3,856","17,989","8","5","0","415","114","50","2,556"
"2017-11-26","3,266","14,676","6","185","236","271","56","66","1,966"
"2017-11-27","2,755","10,240","5","1","150","226","54","23","1,455"
"2017-11-28","3,289","15,011","7","7","18","337","68","32","1,989"
